RAM,Bağlantı Girişleri:,Bluetooth,CihazAgirligi,DokunmatikEkran,EkranBoyutu,GCMT,EkranKartiHafizasi,EkranKartiTipi,EkranKarti,EkranOzelligi,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,IslemciFrekansi,GHz,IslemciModeli,IslemciNesli,IslemciTipi,IslemciCekirdekSayisi,IsletimSistemi,SarJliKullanimSüresi,url,price
32,HDMI,0.0,0.0,0.0,"10,1 inç",0.0,6 GB,1.0,0.0,1.0,İthalatçı Garantili,,,,4 TB ve üstü,Aydınlatmalı,Tasarım,DVD Okuyucu,,,8 GB,Kahverengi,256 GB,,,1920 x 1200,0.0,0.0,0.0,1.0,1.0,4 TB ve üstü,1.0,Tasarım,0.0,7.995
32,HDMI,0.0,0.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,1.0,0.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,TN,8 GB,Gri,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,5.199
32,HDMI,0.0,0.0,0.0,14 inç,0.0,Paylaşımlı,1.0,0.0,1.0,İthalatçı Garantili,,,,Yok,Q İngilizce,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,3840 x 2160,1.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,16.000
32,HDMI,0.0,0.0,0.0,14 inç,0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Siyah,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,6.999
32,HDMI,0.0,1.0,0.0,14 inç,0.0,2 GB,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,512 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,7.499
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,8.797
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,4 GB,0.0,0.0,1.0,Distribütör Garantili,,,,1 TB,Q Türkçe,Oyun,Yok,,,16 GB,Siyah,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,1 TB,0.0,Oyun,0.0,11.599
32,HDMI,0.0,1.0,1.0,"12,5 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,Var,,Yok,Aydınlatmalı,Ev - Okul,Yok,,IPS,8 GB,Siyah,512 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,1.0,Ev - Okul,0.0,13.900
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,4 GB,1.0,0.0,1.0,,,,,1 TB,Q Türkçe,Oyun,Yok,,,8 GB,,128 GB,,,,0.0,0.0,0.0,1.0,1.0,1 TB,0.0,Oyun,0.0,9.999
32,HDMI,0.0,0.0,0.0,"15,6 inç",0.0,4 GB,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ofis - İş,Yok,,,16 GB,Metalik,1 TB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,"12.863,70"
